name,type,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
BUTTON_HELP,Procedure,0,0,0,0,0,0,0,2
CAMBIA_COLOR_HEADER,Procedure,0,0,0,0,0,0,0,3
CG$CHK_PACKAGE_FAILURE,Procedure,0,0,0,0,0,0,0,0
CG$WHEN_NEW_FORM_INSTANCE,Procedure,1,0,0,0,0,0,1,0
CGHP$CALL_HELP_FORM,Procedure,0,0,0,0,0,0,0,7
CGIM$READ_IMAGE_FILE,Procedure,0,0,0,0,0,0,0,7
CGLY$CANVAS_MANAGEMENT,Procedure,0,0,0,0,0,0,0,3
CGLY$DISPLAY_CANVASES,Procedure,0,0,0,0,0,0,0,4
CGLY$GET_RELATED_CANVASES,Procedure,0,0,0,0,0,0,0,1
CGLY$RAISE_CANVAS,Procedure,0,0,0,0,0,0,0,1
CGLY$SYNC_CANVAS,Procedure,0,0,0,0,0,0,0,3
CGTE$OTHER_EXCEPTIONS,Procedure,0,0,0,0,0,0,0,0
CGTE$POP_ERROR_STACK,Procedure,0,0,0,0,0,0,0,1
CGTE$STRIP_CONSTRAINT,Function,0,0,0,0,0,0,0,2
CGTE$STRIP_FIRST_ERROR,Function,0,0,0,0,0,0,0,2
CHECK_PACKAGE_FAILURE,Procedure,0,0,0,0,0,0,0,0
CLEAR_ALL_MASTER_DETAILS,Procedure,0,0,0,0,0,0,2,4
COMPARAISON,Function,0,0,0,0,0,0,0,2
DEL_TIMER,Procedure,0,0,0,1,0,0,0,1
F_BUSCA_TARIFA_URA,Function,0,0,0,0,0,0,0,4
F_FREC_CONS_TEMP_IN_UP,Function,1,1,1,0,0,0,1,3
F_FREC_CONS_TEMP_SUMA,Function,1,0,0,0,0,0,1,1
F_USUARIO_AUTORIZADO,Function,0,0,0,0,0,0,0,1
MANEJO_MENSAJES_ERRORES,Procedure,0,1,0,0,0,0,0,6
MSG_ALERT,Procedure,0,0,0,0,0,0,0,4
PKG_REPORTE_SVC,Package Body,26,0,0,0,0,0,9,24
POPULAR_LISTAS,Procedure,41,0,0,0,0,0,0,5
PROCESO_VALIDAR_CUENTAS,Procedure,2,0,0,0,0,0,2,6
