node_id,scope,owner,trigger,sql_select,sql_insert,sql_update,sql_delete,sql_merge,execute_immediate,cursor,call_count
TRG_BLOCK:AFILIADO_CONTACTO_PREFERENCIA.ON-INSERT,BLOCK,AFILIADO_CONTACTO_PREFERENCIA,ON-INSERT,0,0,0,0,0,0,0,2
TRG_BLOCK:AFILIADO_CONTACTO_PREFERENCIA.POST-UPDATE,BLOCK,AFILIADO_CONTACTO_PREFERENCIA,POST-UPDATE,0,0,0,0,0,0,0,2
TRG_BLOCK:AFILIADO_CONTACTO_PREFERENCIA.PRE-UPDATE,BLOCK,AFILIADO_CONTACTO_PREFERENCIA,PRE-UPDATE,0,0,0,0,0,0,0,1
TRG_BLOCK:APLICA_ENDOSO.WHEN-NEW-BLOCK-INSTANCE,BLOCK,APLICA_ENDOSO,WHEN-NEW-BLOCK-INSTANCE,0,0,0,2,0,0,0,5
TRG_BLOCK:BK_SOLICITUD_REV_MEDICA.PRE-INSERT,BLOCK,BK_SOLICITUD_REV_MEDICA,PRE-INSERT,0,0,0,0,0,0,0,0
TRG_BLOCK:BUSCA_SERVICIO.WHEN-CREATE-RECORD,BLOCK,BUSCA_SERVICIO,WHEN-CREATE-RECORD,2,0,0,0,0,0,1,0
TRG_BLOCK:BUSCA_SERVICIO.WHEN-NEW-BLOCK-INSTANCE,BLOCK,BUSCA_SERVICIO,WHEN-NEW-BLOCK-INSTANCE,2,0,0,0,0,0,1,5
TRG_BLOCK:CALENDAR.KEY-DOWN,BLOCK,CALENDAR,KEY-DOWN,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.KEY-ENTER,BLOCK,CALENDAR,KEY-ENTER,0,0,0,0,0,0,0,0
TRG_BLOCK:CALENDAR.KEY-NEXT-ITEM,BLOCK,CALENDAR,KEY-NEXT-ITEM,0,0,0,0,0,0,0,0
TRG_BLOCK:CALENDAR.KEY-NXTREC,BLOCK,CALENDAR,KEY-NXTREC,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.KEY-OTHERS,BLOCK,CALENDAR,KEY-OTHERS,0,0,0,0,0,0,0,0
TRG_BLOCK:CALENDAR.KEY-PREV-ITEM,BLOCK,CALENDAR,KEY-PREV-ITEM,0,0,0,0,0,0,0,0
TRG_BLOCK:CALENDAR.KEY-PRVREC,BLOCK,CALENDAR,KEY-PRVREC,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.KEY-UP,BLOCK,CALENDAR,KEY-UP,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.WHEN-BUTTON-PRESSED,BLOCK,CALENDAR,WHEN-BUTTON-PRESSED,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.WHEN-LIST-CHANGED,BLOCK,CALENDAR,WHEN-LIST-CHANGED,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.WHEN-MOUSE-CLICK,BLOCK,CALENDAR,WHEN-MOUSE-CLICK,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.WHEN-MOUSE-DOUBLECLICK,BLOCK,CALENDAR,WHEN-MOUSE-DOUBLECLICK,0,0,0,0,0,0,0,1
TRG_BLOCK:CALENDAR.WHEN-RADIO-CHANGED,BLOCK,CALENDAR,WHEN-RADIO-CHANGED,0,0,0,0,0,0,0,1
TRG_BLOCK:COBRO_INDEBIDO.WHEN-NEW-BLOCK-INSTANCE,BLOCK,COBRO_INDEBIDO,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:COMENTARIO_CON.WHEN-MOUSE-CLICK,BLOCK,COMENTARIO_CON,WHEN-MOUSE-CLICK,0,0,0,0,0,0,0,1
TRG_BLOCK:COMENTARIO_CON.WHEN-NEW-BLOCK-INSTANCE,BLOCK,COMENTARIO_CON,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:CORREO.KEY-COMMIT,BLOCK,CORREO,KEY-COMMIT,0,0,0,1,0,0,0,8
TRG_BLOCK:CORREO.KEY-DELREC,BLOCK,CORREO,KEY-DELREC,0,0,0,1,0,0,0,1
TRG_BLOCK:CORREO.PRE-UPDATE,BLOCK,CORREO,PRE-UPDATE,0,0,0,0,0,0,0,1
TRG_BLOCK:DEPENDIENTE.POST-QUERY,BLOCK,DEPENDIENTE,POST-QUERY,0,0,0,0,0,0,0,3
TRG_BLOCK:DETALLE_COBERTURA.WHEN-NEW-BLOCK-INSTANCE,BLOCK,DETALLE_COBERTURA,WHEN-NEW-BLOCK-INSTANCE,2,0,0,0,0,0,2,3
TRG_BLOCK:DOCUMENTO_PENDIENTES.POST-QUERY,BLOCK,DOCUMENTO_PENDIENTES,POST-QUERY,1,0,0,0,0,0,1,0
TRG_BLOCK:EXCEPCION_NEGOCIO.WHEN-NEW-BLOCK-INSTANCE,BLOCK,EXCEPCION_NEGOCIO,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:HISTORICO_CARTAS.POST-QUERY,BLOCK,HISTORICO_CARTAS,POST-QUERY,0,0,0,0,0,0,0,0
TRG_BLOCK:MOTIVOS_ANULACION.WHEN-NEW-BLOCK-INSTANCE,BLOCK,MOTIVOS_ANULACION,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:MOT_CAM_MED_PAG.PRE-INSERT,BLOCK,MOT_CAM_MED_PAG,PRE-INSERT,0,0,0,0,0,0,0,0
TRG_BLOCK:MOT_CAM_MED_PAG.PRE-UPDATE,BLOCK,MOT_CAM_MED_PAG,PRE-UPDATE,0,0,0,0,0,0,0,0
TRG_BLOCK:MSG_BLOQUEO.KEY-COMMIT,BLOCK,MSG_BLOQUEO,KEY-COMMIT,0,0,0,0,0,0,0,0
TRG_BLOCK:MSG_BLOQUEO.KEY-DOWN,BLOCK,MSG_BLOQUEO,KEY-DOWN,0,0,0,0,0,0,0,0
TRG_BLOCK:NEGOCIACION_PRESTADOR.WHEN-NEW-BLOCK-INSTANCE,BLOCK,NEGOCIACION_PRESTADOR,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:RADICACION.KEY-DELREC,BLOCK,RADICACION,KEY-DELREC,0,0,0,0,0,0,0,0
TRG_BLOCK:RADICACION.KEY-ENTQRY,BLOCK,RADICACION,KEY-ENTQRY,0,0,0,0,0,0,0,0
TRG_BLOCK:RADICACION.ON-CHECK-DELETE-MASTER,BLOCK,RADICACION,ON-CHECK-DELETE-MASTER,3,0,0,3,0,0,3,1
TRG_BLOCK:RADICACION.ON-ERROR,BLOCK,RADICACION,ON-ERROR,0,0,0,0,0,0,0,5
TRG_BLOCK:RADICACION.ON-POPULATE-DETAILS,BLOCK,RADICACION,ON-POPULATE-DETAILS,0,1,0,0,0,0,0,1
TRG_BLOCK:RADICACION.POST-INSERT,BLOCK,RADICACION,POST-INSERT,0,0,0,0,0,0,0,0
TRG_BLOCK:RADICACION.POST-QUERY,BLOCK,RADICACION,POST-QUERY,4,0,0,0,0,0,1,7
TRG_BLOCK:RADICACION.PRE-INSERT,BLOCK,RADICACION,PRE-INSERT,1,0,0,0,0,0,0,2
TRG_BLOCK:RADICACION.PRE-UPDATE,BLOCK,RADICACION,PRE-UPDATE,0,0,0,0,0,0,0,1
TRG_BLOCK:RADICACION.WHEN-CREATE-RECORD,BLOCK,RADICACION,WHEN-CREATE-RECORD,1,0,0,0,0,0,0,3
TRG_BLOCK:RADICACION.WHEN-NEW-RECORD-INSTANCE,BLOCK,RADICACION,WHEN-NEW-RECORD-INSTANCE,0,0,0,0,0,0,0,1
TRG_BLOCK:RADICACION.WHEN-VALIDATE-RECORD,BLOCK,RADICACION,WHEN-VALIDATE-RECORD,0,1,0,0,0,0,0,6
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,BLOCK,RESUMEN_RECLAMOS,POST-QUERY,16,0,0,0,0,0,13,6
TRG_BLOCK:RESUMEN_RECLAMOS.WHEN-NEW-BLOCK-INSTANCE,BLOCK,RESUMEN_RECLAMOS,WHEN-NEW-BLOCK-INSTANCE,0,0,0,0,0,0,0,0
TRG_BLOCK:SOLICITUD_PAGO_DETALLE.PRE-INSERT,BLOCK,SOLICITUD_PAGO_DETALLE,PRE-INSERT,1,0,0,0,0,0,0,0
TRG_BLOCK:SOLICITUD_PAGO_DETALLE.PRE-UPDATE,BLOCK,SOLICITUD_PAGO_DETALLE,PRE-UPDATE,0,0,0,0,0,0,0,0
