source,target,type,raw
PU:P_VERIFICAR_RESTRICCIONES,EXT:F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,F_OBTEN_PARAMETRO_SEUS
PU:P_VERIFICAR_RESTRICCIONES,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
PU:P_VERIFICAR_RESTRICCIONES,EXT:pkg_restric_reembolso.p_restricciones,EXTERNAL_CALL,pkg_restric_reembolso.p_restricciones
PU:P_VERIFICAR_RESTRICCIONES,EXT:varchar2,EXTERNAL_CALL,varchar2
PU:CAMBIA_COLOR_HEADER,EXT:f_obten_parametro_color,EXTERNAL_CALL,f_obten_parametro_color
PU:CAMBIA_COLOR_HEADER,EXT:SET_CANVAS_PROPERTY,EXTERNAL_CALL,SET_CANVAS_PROPERTY
PU:CAMBIA_COLOR_HEADER,EXT:varchar2,EXTERNAL_CALL,varchar2
PU:TOOLBAR_ACTIONS,PU:DEL_TIMER,INTERNAL_PU_CALL,del_timer
PU:TOOLBAR_ACTIONS,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
PU:TOOLBAR_ACTIONS,EXT:show_window,EXTERNAL_CALL,show_window
PU:TOOLBAR_ACTIONS,EXT:varchar2,EXTERNAL_CALL,varchar2
PU:BUTTON_HELP,PU:BUTTON_HELP,INTERNAL_PU_CALL,BUTTON_HELP
PU:BUTTON_HELP,PU:DEL_TIMER,INTERNAL_PU_CALL,del_timer
PU:DEL_TIMER,PU:DEL_TIMER,INTERNAL_PU_CALL,DEL_TIMER
PU:CGLY$RAISE_CANVAS,PU:CGLY$RAISE_CANVAS,INTERNAL_PU_CALL,CGLY$RAISE_CANVAS
PU:CGLY$DISPLAY_CANVASES,PU:CGLY$DISPLAY_CANVASES,INTERNAL_PU_CALL,CGLY$DISPLAY_CANVASES
PU:CGLY$DISPLAY_CANVASES,PU:CGLY$RAISE_CANVAS,INTERNAL_PU_CALL,CGLY$RAISE_CANVAS
PU:CGLY$DISPLAY_CANVASES,EXT:replace,EXTERNAL_CALL,replace
PU:CGLY$DISPLAY_CANVASES,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
PU:CGLY$CANVAS_MANAGEMENT,PU:CGLY$DISPLAY_CANVASES,INTERNAL_PU_CALL,CGLY$DISPLAY_CANVASES
PU:CGLY$CANVAS_MANAGEMENT,PU:CGLY$GET_RELATED_CANVASES,INTERNAL_PU_CALL,CGLY$GET_RELATED_CANVASES
PU:CGLY$CANVAS_MANAGEMENT,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
PU:MSG_ALERT,EXT:FIND_ALERT,EXTERNAL_CALL,FIND_ALERT
PU:MSG_ALERT,EXT:IN,EXTERNAL_CALL,IN
PU:MSG_ALERT,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
PU:MSG_ALERT,EXT:SET_ALERT_PROPERTY,EXTERNAL_CALL,SET_ALERT_PROPERTY
PU:MANEJO_MENSAJES_ERRORES,EXT:Consulta,EXTERNAL_CALL,Consulta
PU:MANEJO_MENSAJES_ERRORES,EXT:Consultas,EXTERNAL_CALL,Consultas
PU:MANEJO_MENSAJES_ERRORES,EXT:LENGTH,EXTERNAL_CALL,LENGTH
PU:MANEJO_MENSAJES_ERRORES,PU:MANEJO_MENSAJES_ERRORES,INTERNAL_PU_CALL,MANEJO_MENSAJES_ERRORES
PU:MANEJO_MENSAJES_ERRORES,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
PU:MANEJO_MENSAJES_ERRORES,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
PU:CGLY$GET_RELATED_CANVASES,PU:CGLY$GET_RELATED_CANVASES,INTERNAL_PU_CALL,CGLY$GET_RELATED_CANVASES
PU:POPULAR_LISTAS,EXT:create_group_from_query,EXTERNAL_CALL,create_group_from_query
PU:POPULAR_LISTAS,EXT:delete_group,EXTERNAL_CALL,delete_group
PU:POPULAR_LISTAS,EXT:EXISTS,EXTERNAL_CALL,EXISTS
PU:POPULAR_LISTAS,EXT:populate_group,EXTERNAL_CALL,populate_group
PU:POPULAR_LISTAS,EXT:populate_list,EXTERNAL_CALL,populate_list
PU:P_BUSCA_DATOS_AFILIADO,EXT:CUR_PLASTICO,EXTERNAL_CALL,CUR_PLASTICO
PU:P_BUSCA_DATOS_AFILIADO,EXT:C_BUSCA_ASE,EXTERNAL_CALL,C_BUSCA_ASE
PU:P_BUSCA_DATOS_AFILIADO,EXT:C_BUSCA_DEP,EXTERNAL_CALL,C_BUSCA_DEP
PU:P_BUSCA_DATOS_AFILIADO,EXT:Enfoco,EXTERNAL_CALL,Enfoco
PU:P_BUSCA_DATOS_AFILIADO,EXT:EXTRACT,EXTERNAL_CALL,EXTRACT
PU:P_BUSCA_DATOS_AFILIADO,EXT:IN,EXTERNAL_CALL,IN
PU:P_BUSCA_DATOS_AFILIADO,EXT:INNOVACORE.PKG_INNOVA.f_valida_plastico_fec_ser,EXTERNAL_CALL,INNOVACORE.PKG_INNOVA.f_valida_plastico_fec_ser
PU:P_BUSCA_DATOS_AFILIADO,EXT:INNOVACORE.PKG_INNOVA.F_VALIDA_PLASTICO_FEC_SER_INT,EXTERNAL_CALL,INNOVACORE.PKG_INNOVA.F_VALIDA_PLASTICO_FEC_SER_INT
PU:P_BUSCA_DATOS_AFILIADO,EXT:LENGTH,EXTERNAL_CALL,LENGTH
PU:P_BUSCA_DATOS_AFILIADO,EXT:LPAD,EXTERNAL_CALL,LPAD
PU:P_BUSCA_DATOS_AFILIADO,EXT:lpad,EXTERNAL_CALL,lpad
PU:P_BUSCA_DATOS_AFILIADO,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
